timestep,episode_return,h_max,h_mean,v_max,goal_reached,ep_length
50000,-3931.583,0.1838,-0.1462,28.284,0,500
100000,-2233.748,0.1399,-0.1921,28.284,0,500
150000,-2855.372,0.1462,-0.1711,28.284,0,500
200000,-2533.934,0.1024,-0.2113,28.284,0,500
250000,-2384.72,0.1482,-0.1953,28.284,0,500
300000,-3830.712,0.2121,-0.1369,27.253,0,500
350000,-2436.989,0.1691,-0.1871,28.284,0,500
400000,-2424.135,0.1786,-0.185,28.284,0,500
450000,-2416.471,0.1707,-0.1887,28.284,0,500
500000,-2386.906,0.1344,-0.1985,28.284,0,500
550000,-123.549,0.385,0.1313,21.189,0,500
600000,-2369.564,0.1409,-0.1978,28.284,0,500
650000,-2379.711,0.1703,-0.1858,28.284,0,500
700000,-2158.102,0.1147,-0.1844,28.284,0,500
750000,-2343.946,0.1549,-0.1914,28.284,0,500
800000,-2355.199,0.1701,-0.1954,28.284,0,500
850000,3962.619,0.36,0.2735,25.619,0,500
900000,-2952.57,0.2221,-0.1019,20.866,0,500
950000,4375.525,0.4506,0.281,24.327,0,500
1000000,-143.313,0.45,0.0851,22.616,0,500
1050000,-2395.094,0.1246,-0.199,28.284,0,500
1100000,3748.061,0.485,0.2475,24.184,0,500
1150000,989.265,0.4846,0.1684,23.878,0,500
1200000,-2316.147,0.164,-0.1872,28.284,0,500
1250000,-2338.691,0.1497,-0.1926,28.284,0,500
1300000,-2309.167,0.1722,-0.1827,28.284,0,500
1350000,-2302.938,0.1498,-0.1895,28.284,0,500
1400000,-2949.016,-0.0922,-0.2386,28.284,0,500
1450000,-2350.524,0.1244,-0.1959,28.284,0,500
1500000,-2292.178,0.161,-0.1893,28.284,0,500
1550000,4489.898,0.3595,0.2653,10.277,0,500
1600000,-2386.702,0.1096,-0.1994,28.284,0,500
1650000,-2320.362,0.1351,-0.192,28.284,0,500
1700000,3718.142,0.3843,0.2285,9.843,0,500
1750000,-3402.485,0.1774,-0.1223,23.022,0,500
1800000,-2293.877,0.496,-0.1792,28.284,0,500
1800200,44.877,-0.0486,-0.273,0.421,0,2
1850200,-2375.881,0.101,-0.1974,28.284,0,500
1900200,838.314,0.3964,0.195,8.313,0,500
1950200,968.406,0.4186,0.1945,8.564,0,500
2000200,-2310.041,0.1493,-0.1906,28.284,0,500
2050200,-2298.332,0.1568,-0.186,28.284,0,500
2100200,-3955.165,0.1375,-0.1615,21.76,0,500
2150200,-2294.363,0.1549,-0.1873,28.284,0,500
2200200,432.099,0.4897,0.1401,16.859,0,500
2250200,1375.614,0.4895,0.1752,16.198,0,500
2300200,4897.925,0.4714,0.281,23.349,0,500
2350200,4992.903,0.454,0.2907,19.925,0,500
2400200,-2267.735,0.1744,-0.179,28.284,0,500
2450200,-2368.385,0.1164,-0.1976,28.284,0,500
2500200,-2369.214,0.1037,-0.1973,28.284,0,500
2550200,-680.686,0.4109,0.0703,20.72,0,500
2600200,686.002,0.4068,0.1743,6.325,0,500
2650200,-3186.578,0.4946,-0.2524,28.284,0,500
2700200,1317.914,0.4942,0.1722,19.657,0,500
2750200,5096.81,0.3964,0.3042,23.076,0,500
2800200,-2332.29,0.11,-0.1935,28.284,0,500
2850200,667.514,0.3781,0.1855,7.584,0,500
2900200,-2232.6,0.1405,-0.1852,28.284,0,500
2950200,-2896.332,-0.176,-0.2543,22.008,0,500
3000200,-2225.328,0.1759,-0.1746,28.284,0,500
3050200,142.772,0.402,0.1357,20.099,0,500
3100200,5004.399,0.3722,0.3005,14.987,0,500
3150200,-270.964,0.4223,0.0925,19.32,0,500
3200200,-2135.528,0.0354,-0.2052,21.89,0,500
3250200,-2429.955,0.1518,-0.1701,28.284,0,500
3300200,-2307.488,0.11,-0.1925,28.284,0,500
3350200,-2248.39,0.1323,-0.1863,28.284,0,500
3400200,-2071.109,0.262,-0.2031,20.788,0,500
3450200,4933.676,0.3051,0.2911,11.711,0,500
3500200,-2211.778,0.1619,-0.1785,28.284,0,500
3550200,-3172.215,0.3725,-0.2671,22.811,0,500
3600200,5121.364,0.3964,0.3066,23.301,0,500
3650200,-2685.535,0.3218,-0.2426,16.308,0,500
3700200,-1734.57,0.3219,-0.0315,20.539,0,500
3750200,-2196.007,0.1504,-0.1802,28.284,0,500
3800200,1099.573,0.4203,0.2005,7.303,0,500
3850200,3927.977,0.3833,0.2293,7.33,0,500
3900200,-2215.902,0.1593,-0.1801,28.284,0,500
3950200,-2234.004,0.1659,-0.1802,28.284,0,500
4000200,-2237.325,0.174,-0.1773,28.284,0,500
4050200,-2235.613,0.1665,-0.1796,28.284,0,500
4100200,-2258.75,0.1147,-0.1882,28.284,0,500
4150200,-2233.418,0.1254,-0.1858,28.284,0,500
4200200,-2225.609,0.2981,-0.1791,28.284,0,500
4250200,4852.711,0.3222,0.2962,12.815,0,500
4300200,4164.617,0.4191,0.2398,15.038,0,500
4350200,-2234.384,0.3716,-0.1844,28.284,0,500
4400200,4945.455,0.391,0.3014,14.804,0,500
4450200,-2264.733,0.4851,-0.1869,28.284,0,500
4500200,4572.573,0.4932,0.2542,23.321,0,500
4550200,266.033,0.494,0.128,19.266,0,500
4600200,1201.543,0.4937,0.1729,22.177,0,500
4650200,-1358.266,0.4065,-0.0083,20.291,0,500
4700200,-263.435,0.4066,0.0528,20.099,0,500
4750200,-2233.371,0.1217,-0.1853,28.284,0,500
4800200,-2500.169,-0.1276,-0.2326,15.665,0,500
4850200,-2224.37,0.1244,-0.1844,28.284,0,500
4900200,-299.736,0.4664,0.1215,3.049,0,500
4950200,729.244,0.4662,0.1166,20.153,0,500
